year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2011;Delaware;846;1364;1849;8412;518;6563
2011;Florida;12359;19101;29403;65461;6742;36058
2011;Georgia;5779.29;8227.66;13272.8;40824.7;2448.37;27551.9
2011;Hawaii;1145;1751;2554;11221;606;8667
2011;Idaho;1279;1883;2670;6603;604;3933
2011;Illinois;9006.4724065;16149.56570902;14820.9214065;56389.7544065;7143.09330252;41568.833
2011;Indiana;4879;6603;9952;26437;1724;16485
2011;Iowa;2229;3499;6147;17988;1270;11841
2011;Kansas;1776;2670;4472;14685;894;10213
2011;Kentucky;4537;5808;9763;25432;1271;15669
2011;Louisiana;5220;6884;10969;31200.4;1664;20231.4
2011;Maine;1696;2341;3000;8274;645;5274
2011;Maryland;4468;7522;9951;33840;3054;23889
2011;Massachusetts;6113;10276;13088;55574.5;4163;42486.5
2011;Michigan;8609.5;12075.6;19919.4;48597.8;3466.1;28678.4
2011;Minnesota;4817;7942;9200;31401;3125;22201
2011;Mississippi;3081;4134;8401;18360;1053;9959
2011;Missouri;4018;7640;7805;23102;3622;15297
2011;Montana;741;965;2380;6164;224;3784
2011;Nebraska;1085;1613;3222;9807;528;6585
2011;Nevada;974;1559;2642;8526;585;5884
2011;New Hampshire;791;1373;1929;5340;582;3411
2011;New Jersey;6377;10441;12044;47142;4064;35098
2011;New Mexico;2781;3533.8;6109.9;14346.8;752.8;8236.9
2011;New York;27224;38624;44707;132765;11400;88058
2011;North Carolina;7660;11298;17711;50907;3638;33196
2011;North Dakota;492.7;715.7;1813.478;5017.478;223;3204
2011;Ohio;2720.158952;13360.93879;14552.582471;60314.221029;10640.779838;45761.638558
2011;Oklahoma;3126;4788;7592;21165;1662;13573
2011;Oregon;3003;4453;8628;33471.3;1450;24843.3
2011;Pennsylvania;14182;21975;29511;69147;7793;39636
2011;Puerto Rico;;0;0;0;;0
2011;Rhode Island;1248;2070;2748.8;7963.6;822;5214.8
2011;South Carolina;4248;5465;9821;22188;1217;12367
2011;South Dakota;567;800;1679;3870;233;2191
2011;Tennessee;6391;8968;13578;30228;2577;16650
2011;Texas;18551.010201;28185.494708;35606.15237;94119.026519;9634.484507;58512.874149
2011;Utah;1405;1973;3579;12688;568;9109
2011;Vermont;825;1241;1966;4860;416;2894
2011;Virginia;4197;7173.7;9832.4;42470;2976.7;32637.6
2011;Washington;3943;7909;8989;33621;3966;24632
2011;West Virginia;2187;2731;4460;21198;544;16738
2011;Wisconsin;5043.83;7412.79;12236;42843.79;2368.96;30607.79
2011;Wyoming;336;553;1547;6033;217;4486
2012;Alabama;3795;5627;9439;24598;1832;15159
2012;Alaska;798;1369;3017;11789;571;8772
2012;Arizona;5781.728999;8435.590882;12298.528999;28080.640882;2653.861883;15782.111883
2012;Arkansas;3142;4424;6278;20688;1282;14410
2012;California;26446;43052;73062.68;199424.26;16606;126361.58
2012;Colorado;2591.373;5970.797;7691.245;28776.838;3379.424;21085.593
2012;Connecticut;0;5887;2631;27507.87;5887;24876.87
2012;Delaware;784;1421;1777;8942;637;7165
2012;Florida;10929;19269;24570;62990;8340;38420
2012;Georgia;5599;8575;12469.2;41143.9;2976;28674.7
2012;Hawaii;807;1413;1932;11494;606;9562
2012;Idaho;1063;1704;2382.7;6268.7;641;3886
2012;Illinois;6188.70217;12950.61317463;14006.67814;59846.26458463;6761.91100463;45839.58644463
2012;Indiana;4716;7178;9272;26195;2462;16923
2012;Iowa;2068;3704;6551;18862;1636;12311
2012;Kansas;1510;2683;4153;14396;1173;10243
2012;Kentucky;4090;5782;8687;25649;1692;16962
2012;Louisiana;4474;6351;10616;27088.4;1877;16472.4
2012;Maine;1443;2334;2649.2;8106.2;891;5457
2012;Maryland;3616.599739;7182.599739;9058;34872;3566;25814
2012;Massachusetts;6752;10431;16157;57112;3679;40955
2012;Michigan;8198.1;12537.4;17549.4;47286.5;4339.3;29737.1
2012;Minnesota;4422;8653;8170;30214;4231;22044
2012;Mississippi;3181.6;4304.9;7589.6;18033.8;1123.3;10444.2
2012;Missouri;4245;8188;7539;23364;3943;15825
2012;Montana;675;996;2131;5919;321;3788
2012;Nebraska;934.5;1647.8;2988.3;9876.7;713.3;6888.4
2012;Nevada;1008;1935;2554;7622;927;5068
2012;New Hampshire;584;1187;1650;4976;603;3326
2012;New Jersey;5667;10518;10998;48646;4851;37648
2012;New Mexico;2562.2;3640.1;5790.1;14374.6;1077.9;8584.5
2012;New York;24478;39257;40311;133504;14779;93193
2012;North Carolina;7535;12224;14513;49922;4689;35409
2012;North Dakota;419;730;1884;6020;311;4136
2012;Ohio;4268.8;16745.5;13143.9;57921.186;12476.7;44777.286
2012;Oklahoma;2924;4734;7122;20931;1810;13809
2012;Oregon;3094;4911;7753;27013.4;1817;19260.4
2012;Pennsylvania;12245;22229;24177;66948;9984;42771
2012;Puerto Rico;;0;0;0;;0
2012;Rhode Island;995;1924;2599;7906.7;929;5307.7
2012;South Carolina;3426;4785;9284;22088;1359;12804
2012;South Dakota;487;774;1507;3688;287;2181
